Row,NERR Site ID ,Station Code,Station Name,Lat Long,Latitude , Longitude, Status, Active Dates, State, Reserve Name,Real Time,HADS ID,GMT Offset,Station Type,Region,isSWMP,Parameters Reported
1,ace                                               ,acebbnut  ,Big Bay                                 ,32° 29' 38.76 N - 80° 19' 26.76 W,32.4941,80.3241,Inactive  ,Feb 2002-Dec 2014,sc        ,Ashepoo Combahee Edisto Basin                     ,,,-5        ,2,2,P,"PO4F,NH4F,NO23F,CHLA_N,DIN,NO2F,NO3F"
2,ace                                               ,acebbwq   ,Big Bay                                 ,32° 29' 38.76 N - 80° 19' 26.76 W,32.4941,80.3241,Inactive  ,Mar 1995-Dec 2014,sc        ,Ashepoo Combahee Edisto Basin                     ,,,-5        ,1,2,P,"Temp,SpCond,Sal,DO_pct,DO_mgl,Depth,cDepth,pH,Turb"
3,ace                                               ,acebpmet  ,Bennett's Point                         ,32° 33' 33.64 N - 80° 27' 16.41 W,32.559344,80.454558,Active    ,Mar 2001-,sc        ,Ashepoo Combahee Edisto Basin                     ,R         ,3B01E672  ,-5        ,0,2,P,"ATemp,RH,BP,WSpd,MaxWSpd,MaxWSpdT,Wdir,SDWDir,TotPAR,TotPrcp,CumPrcp"
4,ace                                               ,acefcnut  ,Fishing Creek                           ,32° 38' 9.35 N - 80° 21' 56.02 W,32.63593,80.36556,Active    ,Mar 2002 -,sc        ,Ashepoo Combahee Edisto Basin                     ,,,-5        ,2,2,P,"PO4F,NH4F,NO23F,CHLA_N,DIN,NO2F,NO3F"
5,ace                                               ,acefcwq   ,Fishing Creek                           ,32° 38' 9.35 N - 80° 21' 56.02 W,32.63593,80.36556,Active    ,Oct 2002-,sc        ,Ashepoo Combahee Edisto Basin                     ,,,-5        ,1,2,P,"Temp,SpCond,Sal,DO_pct,DO_mgl,Depth,cDepth,pH,Turb"
6,ace                                               ,acemcnut  ,Mosquito Creek                          ,32° 33' 20.88 N - 80° 26' 16.80 W,32.5558,80.438,Active    ,Mar 2002-,sc        ,Ashepoo Combahee Edisto Basin                     ,,,-5        ,2,2,P,"PO4F,NH4F,NO23F,CHLA_N,DIN,NO2F,NO3F"
7,ace                                               ,acemcwq   ,Mosquito Creek                          ,32° 33' 20.88 N - 80° 26' 16.80 W,32.5558,80.438,Active    ,Oct 2002-,sc        ,Ashepoo Combahee Edisto Basin                     ,,,-5        ,1,2,P,"Temp,SpCond,Sal,DO_pct,DO_mgl,Depth,cDepth,pH,Turb"
8,ace                                               ,acercwq   ,Rock Creek                              ,32° 32' 54.60 N - 80° 30' 12.96 W,32.5485,80.5036,Inactive  ,Mar 1996-May 1996,sc        ,Ashepoo Combahee Edisto Basin                     ,,,-5        ,1,2,P,"Temp,SpCond,Sal,DO_pct,DO_mgl,Depth,pH,Turb"
9,ace                                               ,acespnut  ,St. Pierre                              ,32° 31' 40.80 N - 80° 21' 41.18 W,32.52800,80.36144,Active    ,Jan 2002-,sc        ,Ashepoo Combahee Edisto Basin                     ,,,-5        ,2,2,P,"PO4F,NH4F,NO23F,CHLA_N,DIN,TN,TP,NO2F,NO3F"
10,ace                                               ,acespwq   ,St. Pierre                              ,32° 31' 40.80 N - 80° 21' 41.18 W,32.52800,80.36144,Active    ,Mar 1995-,sc        ,Ashepoo Combahee Edisto Basin                     ,R         ,3B02F20A  ,-5        ,1,2,P,"Temp,SpCond,Sal,DO_pct,DO_mgl,Depth,cDepth,pH,Turb"
