station_code,latitude,longitude,gmt_off
acebb,32.4941,-80.3241,-5
acebp,32.559344,-80.454558,-5
acefc,32.6358,-80.3655,-5
acemc,32.5558,-80.438,-5
acesp,32.5233,-80.3568,-5
apacp,29.7021,-84.8802,-5
apadb,29.6747,-85.0583,-5
apaeb,29.7909,-84.8834,-5
apaeg,29.7308,-84.9452,-5
apaes,29.7858,-84.8752,-5
apamb,29.6677,-84.994,-5
apanh,29.6504,-84.9289,-5
apapc,29.6079,-85.0196,-5
aparv,29.7791,-85.0434,-5
apasc,29.6067,-84.9467,-5
apawp,29.6379,-85.089,-5
cbmip,38.796,-76.7208,-5
cbmjb,38.7807,-76.7081,-5
cbmmc,38.7433,-76.7074,-5
cbmoc,39.4507,-76.2746,-5
cbmrr,38.7813,-76.7137,-5
cbvcb,37.34855,-76.61123,-5
cbvci,37.3,-76.55,-5
cbvgi,37.21739,-76.3954,-5
cbvsh,37.57138,-76.88424,-5
cbvtc,37.414986,-76.71442,-5
cbvyb,37.2449,-76.5052,-5
delbb,39.4024,-75.628,-5
delbl,39.38876,-75.636,-5
delds,39.1637,-75.5191,-5
delll,39.1144,-75.4992,-5
delsj,39.0889,-75.4368,-5
delsl,39.08498,-75.46058,-5
deltb,39.4049,-75.5996,-5
elkap,36.8457,-121.7538,-8
elkcw,36.818056,-121.739394,-8
elknm,36.8346,-121.7384,-8
elksm,36.8179,-121.7394,-8
elkvm,36.8111,-121.7792,-8
gndbc,30.3836,-88.4364,-6
gndbh,30.4178,-88.4054,-6
gndbl,30.3571,-88.4629,-6
gndpc,30.3486,-88.4185,-6
gndbn,30.3669,-88.471,-6
gndcr,30.3592,-88.42,-6
grbgl,43.058768,-70.830383,-5
grbgb,43.0722,-70.8694,-5
grblr,43.08,-70.9344,-5
grbor,43.134,-70.911,-5
grbsq,43.052403,-70.911811,-5
gtmfm,29.737041,-81.245953,-5
gtmpc,29.657702,-81.232743,-5
gtmpi,30.050857,-81.367465,-5
gtmss,29.868851,-81.307428,-5
hudfs,42.0182,-73.917,-5
hudsc,42.0463,-73.9108,-5
hudsk,42.0171,-73.9148,-5
hudtn,42.0365,-73.9253,-5
hudts,42.027,-73.9259,-5
jacb5,39.5188,-74.2872,-5
jacb6,39.5079,-74.3385,-5
jacb9,39.4902,-74.3816,-5
jacba,39.5937,-74.5515,-5
jacnc,39.535,-74.4636,-5
jacne,39.5479,-74.4608,-5
job09,17.943669,-66.238486,-4
job10,17.938611,-66.257736,-4
