"StationCode","isSWMP","DateTimeStamp","Historical","ProvisionalPlus","CollMethd","REP","F_Record","PO4F","F_PO4F","NH4F","F_NH4F","NO2F","F_NO2F","NO3F","F_NO3F","NO23F","F_NO23F","CHLA_N","F_CHLA_N",
"apacpnut  ","P",01/08/2013 10:54,0,1,1         ,1         ,"",0.0030,<-4> [SBL] ,0.013,<-4> [SBL] ,"","","","",0.0040,<0>  ,2.23,<0>  ,
"apacpnut  ","P",02/05/2013 10:23,0,1,1         ,1         ,"",0.0080,<0>  ,0.014,<0>  ,"","","","",0.0020,<-4> [SBL] ,4.02,<0>  ,
"apacpnut  ","P",03/04/2013 15:44,0,1,1         ,1         ,"",0.016,<0>  ,0.064,<0>  ,"","","","",0.225,<0>  ,1.56,<0>  ,
"apacpnut  ","P",03/04/2013 15:47,0,1,1         ,2         ,"",0.011,<0>  ,0.072,<0>  ,"","","","",0.248,<0>  ,2.68,<0>  ,
"apacpnut  ","P",03/04/2013 15:51,0,1,1         ,3         ,"",0.011,<0>  ,0.064,<0>  ,"","","","",0.235,<0>  ,2.23,<0>  ,
"apacpnut  ","P",04/02/2013 10:18,0,1,1         ,1         ,"",0.0030,<0>  ,0.063,<0>  ,"","","","",0.276,<0>  ,10.5,<0>  ,
"apacpnut  ","P",05/08/2013 10:07,0,1,1         ,1         ,"",0.0030,<0>  ,0.065,<0>  ,"","","","",0.1,<0>  ,5.59,<0>  ,
"apacpnut  ","P",06/03/2013 9:10,0,1,1         ,1         ,"",0.0030,<-4> [SBL] ,0.038,<1> [SRD] ,"","","","",0.0020,<-4> [SBL] ,"",<-2> [GDM] ,
"apacpnut  ","P",06/03/2013 9:12,0,1,1         ,2         ,"",0.0030,<-4> [SBL] ,0.063,<1> [SRD] ,"","","","",0.0020,<-4> [SBL] ,"",<-2> [GDM] ,
"apacpnut  ","P",06/03/2013 9:15,0,1,1         ,3         ,"",0.0030,<-4> [SBL] ,0.06,<1> [SRD] ,"","","","",0.0020,<-4> [SBL] ,5.81,<0>  ,
"apacpnut  ","P",07/09/2013 8:56,0,1,1         ,1         ,"",0.0040,<0>  ,0.065,<0>  ,"","","","",0.036,<0>  ,6.8,<0>  ,
"apacpnut  ","P",08/12/2013 9:22,0,1,1         ,1         ,"",0.0040,<0>  ,0.019,<0>  ,"","","","",0.019,<0>  ,11.0,<0>  ,
"apacpnut  ","P",09/04/2013 8:13,0,1,1         ,1         ,"",0.0060,<0>  ,0.1,<0>  ,"","","","",0.15,<0>  ,4.4,<0>  ,
"apacpnut  ","P",10/08/2013 10:07,0,1,1         ,1         ,"",0.0050,<0>  ,0.033,<0>  ,"","","","",0.069,<0>  ,7.4,<0>  ,
"apacpnut  ","P",10/29/2013 9:30,0,1,1         ,1         ,"",0.0040,<0>  ,0.012,<0>  ,"","","","",0.0090,<0>  ,2.7,<0>  ,
"apacpnut  ","P",12/03/2013 11:07,0,1,1         ,1         ,"",0.0050,<0>  ,0.01,<0>  ,"","","","",0.15,<0>  ,5.9,<0>  ,

