"StationCode","isSWMP","DateTimeStamp","Historical","ProvisionalPlus","CollMethd","REP","F_Record","PO4F","F_PO4F","NH4F","F_NH4F","NO2F","F_NO2F","NO3F","F_NO3F","NO23F","F_NO23F","CHLA_N","F_CHLA_N",
"apadbnut  ","P",01/08/2013 10:19,0,1,1         ,1         ,"",0.0030,<-4> [SBL] ,0.013,<-4> [SBL] ,"","","","",0.161,<0>  ,10.72,<0>  ,
"apadbnut  ","P",02/05/2013 8:56,0,1,1         ,1         ,"",0.0060,<0>  ,0.033,<1> [SRD] ,"","","","",0.0020,<-4> [SBL] ,4.47,<0>  ,
"apadbnut  ","P",02/05/2013 8:58,0,1,1         ,2         ,"",0.0050,<0>  ,0.042,<1> [SRD] ,"","","","",0.0060,<0>  ,6.03,<0>  ,
"apadbnut  ","P",02/05/2013 9:01,0,1,1         ,3         ,"",0.0040,<0>  ,0.013,<-4> [SBL] ,"","","","",0.0020,<-4> [SBL] ,6.93,<0>  ,
"apadbnut  ","P",03/04/2013 14:25,0,1,1         ,1         ,"",0.0040,<0>  ,0.09,<0>  ,"","","","",0.24,<0>  ,3.35,<0>  ,
"apadbnut  ","P",04/02/2013 8:21,0,1,1         ,1         ,"",0.0030,<-4> [SBL] ,0.07,<0>  ,"","","","",0.091,<0>  ,7.82,<0>  ,
"apadbnut  ","P",04/02/2013 8:23,0,1,1         ,2         ,"",0.0030,<-4> [SBL] ,0.069,<0>  ,"","","","",0.093,<0>  ,8.71,<0>  ,
"apadbnut  ","P",04/02/2013 8:25,0,1,1         ,3         ,"",0.0030,<-4> [SBL] ,0.074,<0>  ,"","","","",0.088,<0>  ,8.49,<0>  ,
"apadbnut  ","P",05/08/2013 8:39,0,1,1         ,1         ,"",0.0030,<-4> [SBL] ,0.085,<0>  ,"","","","",0.0020,<-4> [SBL] ,3.35,<0>  ,
"apadbnut  ","P",06/03/2013 10:30,0,1,1         ,1         ,"",0.0030,<-4> [SBL] ,0.016,<0>  ,"","","","",0.0050,<0>  ,8.71,<0>  ,
"apadbnut  ","P",07/09/2013 10:25,0,1,1         ,1         ,"",0.0050,<0>  ,0.027,<0>  ,"","","","",0.18,<0>  ,11.0,<0>  ,
"apadbnut  ","P",08/12/2013 9:57,0,1,1         ,1         ,"",0.0040,<0>  ,0.0090,<0>  ,"","","","",0.015,<0>  ,13.0,<0>  ,
"apadbnut  ","P",09/04/2013 9:40,0,1,1         ,1         ,"",0.0080,<0>  ,0.036,<0>  ,"","","","",0.19,<0>  ,5.5,<0>  ,
"apadbnut  ","P",10/08/2013 8:17,0,1,1         ,1         ,"",0.0040,<0>  ,0.041,<0>  ,"","","","",0.14,<0>  ,6.1,<0>  ,
"apadbnut  ","P",10/29/2013 10:16,0,1,1         ,1         ,"",0.0050,<0>  ,0.011,<0>  ,"","","","",0.12,<0>  ,6.3,<0>  ,
"apadbnut  ","P",12/03/2013 12:57,0,1,1         ,1         ,"",0.0040,<0>  ,0.0080,<0>  ,"","","","",0.21,<0>  ,2.4,<0>  ,

